Afstemningsområde	Opstillingskreds	Storkreds	Landsdel	Filnavn	Stemmeberettigede	IAltGyldigeStemmer	BlankeStemmer	AndreUgyldigeStemmer	IAltAfgivneStemmer	A	B	C	F	I	K	O	V	Ø	Å	UdenForParti
"Allerslev"	"3. Vordingborg"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494943.xml"	925	803	7	1	811	195	21	12	26	52	3	198	180	57	59	0
"Jungshoved"	"3. Vordingborg"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494944.xml"	619	558	3	2	563	156	13	7	28	28	1	133	95	44	52	1
"Mern"	"3. Vordingborg"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494945.xml"	1435	1229	10	2	1241	320	24	27	42	52	5	370	258	84	47	0
"Kalvehave"	"3. Vordingborg"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494946.xml"	1698	1461	13	1	1475	452	30	31	46	62	2	401	259	102	76	0
"Stensved"	"3. Vordingborg"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494947.xml"	1533	1378	14	2	1394	425	30	35	41	60	3	390	268	76	50	0
"Allinge"	"2. Aakirkeby"	"Bornholms Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494888.xml"	2811	2308	17	3	2328	665	27	31	73	104	37	510	470	239	152	0
"Østermarie"	"2. Aakirkeby"	"Bornholms Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494889.xml"	2341	1944	15	12	1971	458	37	39	61	91	61	377	439	235	146	0
"Svaneke"	"2. Aakirkeby"	"Bornholms Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494890.xml"	1695	1457	13	2	1472	402	46	28	52	83	41	165	295	201	144	0
"Nexø"	"2. Aakirkeby"	"Bornholms Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494891.xml"	3534	2849	22	18	2889	1004	36	41	71	105	88	556	604	214	130	0
"Pedersker"	"2. Aakirkeby"	"Bornholms Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494892.xml"	1335	1149	9	0	1158	337	17	13	31	62	38	267	273	57	54	0
"Aakirkeby"	"2. Aakirkeby"	"Bornholms Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494893.xml"	4236	3473	25	5	3503	1119	59	44	81	136	164	706	797	245	122	0
"Klemensker"	"1. Rønne"	"Bornholms Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494885.xml"	1981	1641	16	5	1662	454	23	48	35	59	72	399	370	127	54	0
"Rønne"	"1. Rønne"	"Bornholms Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494886.xml"	11179	9165	87	31	9283	3599	153	166	267	340	203	1729	1616	677	415	0
"Hasle"	"1. Rønne"	"Bornholms Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494887.xml"	2268	1911	23	5	1939	623	28	30	40	57	45	446	389	175	78	0
"Middelfart V"	"5. Middelfart"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495183.xml"	5098	4384	39	12	4435	1453	148	141	231	262	14	917	738	314	166	0
"Middelfart Ø"	"5. Middelfart"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495184.xml"	5088	4468	32	14	4514	1593	163	141	151	284	26	965	781	239	125	0
"Strib"	"5. Middelfart"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495185.xml"	3351	3071	14	3	3088	734	168	157	110	314	17	562	721	170	118	0
"Hyllehøj"	"5. Middelfart"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495186.xml"	1962	1707	9	1	1717	505	54	52	69	115	3	434	353	83	39	0
"Aulby"	"5. Middelfart"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495187.xml"	1071	917	12	1	930	228	28	19	40	68	4	259	193	43	35	0
"Nørre Aaby"	"5. Middelfart"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495188.xml"	2809	2417	39	7	2463	743	74	58	95	141	11	575	491	162	67	0
"Baaring"	"5. Middelfart"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495189.xml"	1461	1297	14	3	1314	296	47	35	58	88	5	301	318	74	75	0
"Ejby"	"5. Middelfart"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495190.xml"	2253	1889	17	3	1909	505	50	57	86	100	13	511	431	90	46	0
"Gelsted"	"5. Middelfart"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495191.xml"	2062	1733	20	2	1755	479	27	49	80	87	4	484	361	99	63	0
"Brenderup"	"5. Middelfart"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495192.xml"	1994	1695	16	1	1712	453	57	42	49	119	10	443	376	80	66	0
"Fjelsted/Harndrup"	"5. Middelfart"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495193.xml"	1279	1100	12	1	1113	271	29	42	36	59	5	333	238	63	24	0
"Christiansø"	"2. Aakirkeby"	"Bornholms Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494894.xml"	59	55	3	0	58	22	1	1	5	0	0	13	4	5	4	0
"Assens"	"4. Assens"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495160.xml"	5382	4397	42	14	4453	1389	98	138	142	240	17	1074	810	358	131	0
"Ebberup"	"4. Assens"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495161.xml"	1307	1150	11	3	1164	392	21	31	45	53	3	271	231	70	33	0
"Turup"	"4. Assens"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495162.xml"	662	592	4	1	597	167	10	11	20	40	4	154	115	48	23	0
"Salbrovad"	"4. Assens"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495163.xml"	701	616	11	1	628	156	8	25	23	51	1	183	112	36	21	0
"Helnæs"	"4. Assens"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495164.xml"	189	174	1	0	175	41	5	9	10	11	0	42	42	6	8	0
"Køng"	"4. Assens"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495165.xml"	750	655	7	2	664	176	27	22	22	52	2	125	143	50	36	0
"Glamsbjerg"	"4. Assens"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495166.xml"	1957	1690	17	4	1711	522	53	55	67	75	10	398	296	148	66	0
"Flemløse"	"4. Assens"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495167.xml"	831	706	6	7	719	167	13	25	26	29	1	223	156	45	21	0
"Søllested"	"4. Assens"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495168.xml"	390	339	2	0	341	91	3	11	10	24	6	97	60	23	14	0
"Ørsted"	"4. Assens"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495169.xml"	415	349	1	1	351	77	9	9	12	23	1	96	84	20	18	0
"Dreslette"	"4. Assens"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495170.xml"	632	563	4	1	568	130	17	17	21	44	8	127	140	40	19	0
"Haarby"	"4. Assens"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495171.xml"	2589	2225	12	9	2246	642	51	70	55	112	4	575	518	123	75	0
"Jordløse"	"4. Assens"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495172.xml"	524	435	2	0	437	117	20	13	16	22	0	103	79	40	25	0
"Brylle"	"4. Assens"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495173.xml"	1273	1159	15	2	1176	342	30	41	50	77	11	264	252	58	34	0
"Tommerup"	"4. Assens"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495174.xml"	1499	1302	19	4	1325	365	44	33	56	87	10	309	284	74	40	0
"Tommerup St"	"4. Assens"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495175.xml"	1776	1593	19	6	1618	507	62	42	81	123	6	292	302	121	57	0
"Verninge"	"4. Assens"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495176.xml"	880	745	9	4	758	186	21	19	23	40	7	206	175	39	29	0
"Nårup"	"4. Assens"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495177.xml"	365	310	4	2	316	92	3	6	10	19	1	80	73	15	11	0
"Vissenbjerg"	"4. Assens"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495178.xml"	4496	3905	31	10	3946	1070	93	135	153	245	10	1075	709	281	134	0
"Aarup"	"4. Assens"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495179.xml"	2561	2179	20	10	2209	643	57	80	49	164	7	515	479	119	66	0
"Kerte"	"4. Assens"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495180.xml"	529	445	5	5	455	105	6	11	9	33	2	119	120	24	16	0
"Orte"	"4. Assens"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495181.xml"	594	531	5	1	537	146	17	18	26	38	1	110	93	43	39	0
"Rørup"	"4. Assens"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495182.xml"	593	520	7	2	529	134	12	15	13	24	3	179	106	25	9	0
"Allested-Vejle"	"8. Faaborg"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495254.xml"	1242	1099	16	3	1118	287	20	22	45	57	1	306	262	68	31	0
"Brobyværk"	"8. Faaborg"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495255.xml"	1052	849	16	2	867	205	21	31	31	45	1	205	201	65	44	0
"Nørre Broby"	"8. Faaborg"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495256.xml"	1535	1313	7	3	1323	346	22	21	47	67	1	315	392	66	36	0
"Vester Hæsinge"	"8. Faaborg"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495257.xml"	834	703	5	4	712	147	13	28	30	36	1	159	197	61	31	0
"Avernakø"	"8. Faaborg"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495258.xml"	102	92	1	0	93	15	2	7	5	2	0	19	22	15	5	0
"Faaborg"	"8. Faaborg"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495259.xml"	6403	5413	48	23	5484	1624	155	186	260	242	14	1189	1089	407	247	0
"Horne"	"8. Faaborg"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495260.xml"	1552	1394	7	0	1401	349	32	39	55	56	2	368	349	89	55	0
"Korinth"	"8. Faaborg"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495261.xml"	1601	1312	11	3	1326	314	40	31	60	76	3	346	263	116	63	0
"Lyø"	"8. Faaborg"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495262.xml"	85	74	0	0	74	16	0	5	6	0	0	12	29	5	1	0
"Svanninge"	"8. Faaborg"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495263.xml"	1703	1464	11	10	1485	351	48	49	52	85	8	334	346	117	74	0
"Vester Aaby"	"8. Faaborg"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495264.xml"	1384	1168	16	3	1187	305	24	19	52	50	4	290	263	124	37	0
"Espe"	"8. Faaborg"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495265.xml"	1109	961	8	2	971	232	15	28	30	58	2	244	253	59	40	0
"Hillerslev"	"8. Faaborg"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495266.xml"	1099	916	11	0	927	183	16	24	35	64	7	249	253	58	27	0
"Ringe"	"8. Faaborg"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495267.xml"	5654	4760	46	15	4821	1309	165	141	185	254	20	1021	1147	321	197	0
"Søllinge"	"8. Faaborg"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495268.xml"	838	728	12	2	742	182	19	17	34	42	3	195	136	62	38	0
"Gislev"	"8. Faaborg"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495269.xml"	1644	1376	14	3	1393	387	39	44	47	80	9	350	277	102	41	0
"Kværndrup"	"8. Faaborg"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495270.xml"	1785	1419	12	5	1436	391	54	39	60	75	5	375	278	89	53	0
"Ryslinge"	"8. Faaborg"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495271.xml"	1785	1568	8	3	1579	453	49	36	70	62	16	374	293	142	73	0
"Nr. Lyndelse"	"8. Faaborg"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495272.xml"	2715	2405	30	5	2440	647	66	91	114	165	10	534	561	131	86	0
"Ferritslev"	"8. Faaborg"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495273.xml"	1403	1237	5	0	1242	354	64	26	48	78	3	285	270	60	49	0
"Årslev"	"8. Faaborg"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495274.xml"	3197	2843	36	3	2882	923	110	92	99	206	10	577	536	192	98	0
"Mesinge"	"6. Nyborg"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495207.xml"	1622	1428	10	2	1440	433	29	42	88	65	2	302	256	126	85	0
"Kerteminde 1"	"6. Nyborg"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495208.xml"	3054	2649	24	4	2677	832	59	127	153	195	8	556	461	172	86	0
"Kerteminde 2"	"6. Nyborg"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495209.xml"	2052	1822	13	4	1839	564	34	79	116	76	9	450	328	120	46	0
"Nymarken"	"6. Nyborg"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495210.xml"	1733	1522	15	1	1538	421	42	33	72	89	6	393	283	113	70	0
"Marslev"	"6. Nyborg"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495211.xml"	1604	1398	12	5	1415	356	22	57	49	73	8	440	281	84	28	0
"Langeskov"	"6. Nyborg"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495212.xml"	3406	2928	32	12	2972	902	45	98	96	145	19	747	710	115	51	0
"Munkebo"	"6. Nyborg"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495213.xml"	4576	3820	26	19	3865	1675	73	81	156	176	14	825	476	261	83	0
"Aunslev Forsamlingshus"	"6. Nyborg"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495214.xml"	1353	1168	6	3	1177	336	21	20	40	73	0	300	262	77	39	0
"Nyborghallen"	"6. Nyborg"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495215.xml"	6252	5119	53	28	5200	1973	129	134	207	215	13	1083	740	450	175	0
"Borgerforeningens Hus"	"6. Nyborg"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495216.xml"	5112	4340	39	17	4396	1529	111	140	180	234	16	936	685	338	171	0
"Vindinge Forsamlingshus"	"6. Nyborg"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495217.xml"	2449	2138	15	9	2162	680	45	53	66	125	6	547	399	137	80	0
"Langå, Svindinge Og Øksendrup"	"6. Nyborg"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495218.xml"	811	701	3	2	706	147	12	13	17	35	5	196	182	63	31	0
"Ullerslev"	"6. Nyborg"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495219.xml"	2225	1937	19	6	1962	753	31	41	47	102	9	482	359	82	31	0
"Ellinge"	"6. Nyborg"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495220.xml"	383	329	7	1	337	98	4	12	10	11	1	98	69	20	6	0
"Skellerup"	"6. Nyborg"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495221.xml"	452	407	4	1	412	141	11	11	12	18	1	115	78	14	6	0
"Langtved"	"6. Nyborg"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495222.xml"	699	613	4	2	619	209	12	14	19	39	3	150	111	39	17	0
"Ørbæk 1"	"6. Nyborg"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495223.xml"	1407	1178	11	1	1190	317	18	26	22	52	4	327	346	50	16	0
"Frørup Og Tårup"	"6. Nyborg"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495224.xml"	1077	942	14	6	962	265	29	17	31	43	3	218	248	59	29	0
"Ellested Og Herrested"	"6. Nyborg"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495225.xml"	1001	864	7	3	874	230	15	24	33	52	1	231	199	50	29	0
"Ørbæk 2"	"6. Nyborg"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495226.xml"	898	785	3	0	788	190	17	19	21	54	1	211	214	35	23	0
"Skt. Jørgens Hallen"	"1. Odense Øst"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495130.xml"	9078	7247	124	51	7422	1665	482	212	440	836	37	974	967	959	675	0
"Sct. Hans Skole"	"1. Odense Øst"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495131.xml"	8023	6729	84	25	6838	2108	301	171	425	483	26	1112	834	821	448	0
"Risingskolen"	"1. Odense Øst"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495132.xml"	3069	2468	34	17	2519	760	110	64	167	173	11	428	268	335	152	0
"Munkebjergskolen"	"1. Odense Øst"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495133.xml"	7817	6530	85	21	6636	1594	427	230	371	808	30	935	1051	628	456	0
"Ejerslykkeskolen"	"1. Odense Øst"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495134.xml"	5469	4202	53	29	4284	1474	143	119	240	217	27	737	394	657	194	0
"Agedrup Skole"	"1. Odense Øst"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495135.xml"	2185	1935	21	4	1960	711	24	75	75	93	7	501	287	123	39	0
"Fjordager Hallen"	"1. Odense Øst"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495136.xml"	4403	3675	30	18	3723	1254	101	100	179	159	18	943	468	336	117	0
"Fraugde Fritidscenter"	"1. Odense Øst"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495137.xml"	2555	2156	32	4	2192	637	66	61	101	154	12	517	348	189	71	0
"Borgerservicecenter"	"2. Odense Vest"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495140.xml"	8015	6687	99	31	6817	1508	495	263	464	835	25	752	907	846	592	0
"Csv-Skolen"	"2. Odense Vest"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495141.xml"	7724	5948	57	54	6059	1988	185	169	345	323	17	1246	551	818	306	0
"Lumby Forsamlingshus"	"2. Odense Vest"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495142.xml"	919	822	7	1	830	223	19	25	40	52	3	220	165	45	30	0
"Stige Skole"	"2. Odense Vest"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495143.xml"	4841	4194	48	8	4250	1425	87	127	192	211	11	1034	671	302	134	0
"Spurvelundskolen"	"2. Odense Vest"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495144.xml"	3143	2734	23	10	2767	885	67	114	113	181	10	634	470	177	83	0
"Kroggårdskolen"	"2. Odense Vest"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495145.xml"	4989	4368	43	15	4426	1532	130	150	220	247	14	970	627	323	155	0
"Tarup Skole"	"2. Odense Vest"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495146.xml"	4477	3975	33	14	4022	1293	145	169	176	263	19	823	715	241	131	0
"Paarup Hallen"	"2. Odense Vest"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495147.xml"	3612	3087	35	18	3140	956	84	150	137	235	16	651	586	173	99	0
"Korup Skole"	"2. Odense Vest"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495148.xml"	3611	3166	36	12	3214	1019	83	120	123	185	12	811	547	188	78	0
"Ubberud Kultur &amp; Bevægelseshus"	"2. Odense Vest"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495149.xml"	2231	1940	14	3	1957	476	67	82	67	155	12	500	351	133	97	0
"Rådhuset"	"3. Odense Syd"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495150.xml"	9754	8248	100	46	8394	1875	571	339	488	1023	51	905	1405	923	668	0
"Sct. Knuds Gymnasium"	"3. Odense Syd"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495151.xml"	4148	3804	31	10	3845	727	273	258	152	567	9	410	960	247	201	0
"Rosengårdskolen"	"3. Odense Syd"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495152.xml"	5962	4947	63	26	5036	1440	299	179	286	338	21	907	683	518	276	0
"Fks-Hallen"	"3. Odense Syd"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495153.xml"	8300	7159	57	35	7251	2142	256	319	313	449	33	1487	1369	514	277	0
"Rasmus Rask Skolen"	"3. Odense Syd"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495154.xml"	3817	3395	27	13	3435	857	110	173	105	251	63	735	837	178	86	0
"Tingløkkeskolen"	"3. Odense Syd"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495155.xml"	4860	4174	43	10	4227	1161	210	200	217	378	15	676	761	370	186	0
"Dalumskolen"	"3. Odense Syd"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495156.xml"	6963	5953	57	21	6031	1741	254	232	283	452	20	1173	985	548	265	0
"Stenløse Forsamlingshus"	"3. Odense Syd"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495157.xml"	2420	2127	21	7	2155	498	108	103	123	159	19	417	461	148	91	0
"Fangel Forsamlingshus"	"3. Odense Syd"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495158.xml"	732	659	5	1	665	139	15	34	22	51	3	179	154	38	24	0
"Højby Skole"	"3. Odense Syd"	"Fyns Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495159.xml"	3898	3405	26	10	3441	1056	109	127	144	196	12	767	596	245	153	0
